Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,KY,2018,"10        ",Male,15,Left-Handed,189,28,201,1,Car,45,.688,38,Walking/Hiking,900,500,500,750,950,1000,28.5,"Left foot",85,90,"Ring finger",October,Winter,Yes,No,Pizza/Pasta,"Powdered drink","Mathematics and statistics",7,12,4,"Yes - other","Internet chat or instant messaging",150,200,2,5,20,20,3,1,0,3,10,3,0,3,Some,"Undergraduate degree","Rock and roll","Freeze time",Healthy,"Doctor or nurse",Environment
USA,KY,2015,"6         ",Male,11,Right-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,KY,2019,"7         ",Male,13,Right-Handed,177.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,KY,2012,"12        ",Female,18,Left-Handed,171,24,171,1,Car,12,0.469,34,Bowling,55,30,400,,900,1000,24.5,"Left foot",90,88,"Index finger",October,Summer,No,No,Meat,Water,English,6,4,6,"Yes - broadband connection","Text messaging",300,305,10,2,4,4,2,0,25,40,14,4,13,3,Some,"Graduate degree",Country,Fly,Happy,Teacher,"International aid"
USA,KY,2015,"6         ",Male,11,Right-Handed,157,24,163,1,Bus,20,0.367,37,Basketball,850,1000,1000,492,1000,1000,24,"Same length",95,85,"Index finger",February,Summer,No,No,Meat,Water,"Physical education",9,14,3,"No internet connection",Other,0,0,6,0,1,5,1,0,0,0,0,0,0,0,"Very little","Graduate degree",Country,"Freeze time",Happy,Relative,Other
USA,KY,2013,"8         ",Female,13,Left-Handed,170,24,168,2,Bus,45,1.182,59,Soccer,1000,1000,1000,1000,200,500,23,"Left foot",80,70,"Index finger",August,Summer,No,No,"No favorite","Soft drink (non-caffeinated)",Art,6.5,12,3,"Yes - other","In person",40,13,7,0,17,6,0,0,0,4,2,13,0,5,"A lot","Graduate degree",Techno/Electronic,"Freeze time",Happy,Relative,"International aid"
USA,KY,2013,"11        ",Male,17,Ambidextrous,195,26,182,3,Car,5,.337,73,None,700,600,750,750,875,1000,26,"Same length",80,85,"Ring finger",July,Fall,Yes,No,Meat,Water,Music,8,7,,,,,,,,,,,,,,,,,,,,,,,,
USA,KY,2019,"12        ",Female,17,Right-Handed,152,24,153,1,Car,12,.563,42,Walking/Hiking,1000,1000,1000,1000,855,855,24,"Same length","70 ","90 ","Same length",September,Fall,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)","Mathematics and statistics",8,6,4,"Yes - other","Text messaging",2,5,100,1,25,30,10,3,40,168,20,3,15,2,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Rich,"Doctor or nurse","Education/Youth development"
USA,KY,2019,"12        ",,,,,,,,Car,20,.686,60,Swimming,1000,872,500,500,100,200,24,"Left foot",75,70,"Index finger",November,Summer,No,No,Pizza/Pasta,Water,Science,7,7,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",12,20,60,1,10,2,0,0,20,1,0,10,30,7,"A lot","Graduate degree",Country,Telepathy,Happy,Friend,Environment
USA,KY,2015,"6         ",Female,12,Right-Handed,146,23,152,1,Car,20,.477,40,Baseball/Softball,0,1000,1000,631,0,503,23,"Same length",90,85,"Index finger",November,Summer,Yes,No,Poultry,Water,"Social studies",7,10,4,"Yes - other","In person",5,8,,,,,,,,,,,,,,,,,,,
