Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2013,"5         ",Female,11,Right-Handed,140,15,130,1,Car,4,0.327,36,Dancing,1000,1000,1000,1000,64,412,15,"Same length",60,70,"Ring finger",January,Fall,Yes,No,Fruit,Juice,Science,8,10,4,"Yes - other","Cell phone",20,22,40,15,3,6,8,0,0,0,0,20,5,10,"Very little","Graduate degree",Pop,Invisibility,Famous,Other,"Education/Youth development"
USA,IN,2018,"11        ",Male,17,Right-Handed,600,,,2,Car,10,00,00,Dancing,600,400,600,600,200,800,00,"Right foot",00,00,"Ring finger",July,Spring,No,No,Seafood,Water,Other,5,9,5,"Yes - broadband connection",,20,20,7,0,1,2,5,0,10,1,15,1,30,2,Some,"Undergraduate degree",Pop,Invisibility,Rich,"Business person","Arts, culture, sports"
USA,NY,2016,"6         ",Female,11,Ambidextrous,123,22,160,1,Bus,"40 ",1.099,"62 ",Swimming,155,1000,1000,567,0,134,23,"Left foot",4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2013,"12        ",Male,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NJ,2012,"9         ",Female,15,Right-Handed,173,22,60,2,Car,15,5,48,Skateboarding/Rollerblading,1000,1000,1000,1000,8,9,21,"Right foot",49,51,"Ring finger",January,Winter,Yes,Yes,Fruit,"Soft drink (caffeinated)",Music,6,8,3,"Yes - other","Text messaging",50,70,10,24,7,3,0,8,17,48,48,48,0,3,"A lot","Graduate degree","Heavy metal",Invisibility,Happy,"Musician or singer","Wildlife, animals"
USA,CA,2015,"6         ",Male,12,Right-Handed,158,300,152,1,Car,8,0.515,49,Swimming,500,789,867,967,90,1000,300,"Same length",600,700,"Ring finger",February,Winter,No,No,"Rice/Noodle dishes","Soft drink (caffeinated)",English,5,3,6,"Yes - other","In person",4,60,30,21,4,60,12,20,2,1,29,12,13,17,Some,"Graduate degree",Classical,Fly,Happy,Politician,Environment
USA,IA,2017,"12        ",Male,16,Right-Handed,177.8,27.5,183.2,1,Car,7,.358,51,Golf,118,160,128,107,615,615,27.5,"Same length",110,101,"Index finger",July,Summer,No,No,Pizza/Pasta,Water,"Mathematics and statistics",8,6,6,"Yes - broadband connection","Cell phone",0,0,3,1,9,8,7,3,0,0,5,2,0,2,None,"Some college",Other,"Freeze time",Healthy,Other,Health
USA,NE,2017,"10        ",Female,14,Right-Handed,170.2,22.86,64.5,1,Car,15,1.729,35,Soccer,1000,700,700,500,1000,1000,22.86,"Same length",7.62,7.62,"Same length",June,Fall,Yes,Yes,"No favorite",Water,"Mathematics and statistics",8,8,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",5,10,2,0,5,0,12,0,14,1,14,0,0,0,Some,"Graduate degree",Pop,Telepathy,Happy,Relative,"Arts, culture, sports"
USA,MI,2013,"11        ",Female,16,Right-Handed,161,24,160,1,Car,7,.359,34,Other,786,818,963,947,278,251,24,"Same length",85,88,"Ring finger",August,Fall,No,No,Meat,"Soft drink (caffeinated)",Science,8,10,4,"Yes - broadband connection","In person",38,45,7,0,2,0,0,25,39,4,72,5,8,1,Some,"Graduate degree",Techno/Electronic,Fly,Happy,"Religious figure",Environment
USA,NC,2017,"12        ",Female,17,Right-Handed,163,20,163,1,Car,20,0.329,47,Swimming,690,476,1000,487,1000,1000,19,"Right foot",76,75,"Index finger",June,Summer,No,No,Meat,"Soft drink (caffeinated)",English,7,9,5,"Yes - broadband connection","Text messaging",15,15,10,0,5,60,12,0,15,5,5,15,20,1,Some,"Graduate degree",Gospel,Telepathy,Happy,Relative,Health
USA,CA,2012,"12        ",Female,16,Right-Handed,165.1,25,167,2,Car,5,0.688,50,Dancing,925,920,1000,1000,925,920,25,"Same length",70,80,"Ring finger",August,Winter,Yes,No,Other,Water,English,7,9,5,"Yes - other","Cell phone",300,325,15,3,3,5,15,3,3,24,5,3,0,5,Some,"Graduate degree",Other,"Super strength",Happy,Relative,"International aid"
USA,NC,2017,"12        ",Female,17,Right-Handed,169,24,170,1,Walk,5,0.398,39,Dancing,786,722,754,701,722,594,24,"Same length",74,75,"Ring finger",October,Fall,Yes,No,"No favorite",Water,English,7,8,5,"Yes - other","Text messaging",15,15,5,1,6,0,20,0,5,5,5,2,0,1,Some,"Undergraduate degree",Other,Telepathy,Happy,Relative,"Education/Youth development"
USA,MI,2015,"11        ",Male,16,Ambidextrous,183,29,183,6,Car,10,0.34,45,"Football (American)",600,300,100,100,500,1000,29,"Same length",88,89,"Ring finger",September,Summer,No,No,Pizza/Pasta,"Sports drink","Mathematics and statistics",7,10,5,"Yes - broadband connection","Text messaging",90,90,15,5,9,10,15,2,5,30,30,5,0,5,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Happy,"Musician or singer","International aid"
USA,DE,2014,"12        ",Male,17,Right-Handed,170,22,69,1,Car,40,.772,50,Rowing,700,600,690,650,500,500,,"Left foot",76,76,"Same length",November,Summer,Yes,No,Poultry,Water,History,7,10,3,"Yes - broadband connection","Text messaging",100,100,12,3,8,5,15,1,3,5,15,10,0,5,"A lot","Graduate degree","Rock and roll",Telepathy,Rich,Relative,Health
USA,SC,2015,"11        ",Male,18,Ambidextrous,172,29,164,"2 ",Car,9,0.428,35,Basketball,1000,1000,1000,1000,1000,1000,29,"Same length",73,77,"Ring finger",October,Spring,Yes,No,Fruit,Water,English,6,9,4,"Yes - other","Text messaging",500,500,14,1,5,14,11,3,7,40,20,30,12,5,"Very little",Other,"Rhythm and blues (R&B)","Super strength",Happy,Relative,Religious
USA,NC,2019,"7         ",Male,13,Ambidextrous,165,25,167,3,Bus,15,0.369,0.51,None,513,1000,1000,615,1000,1000,25,"Same length",7.5,6.5,"Same length",July,Spring,No,No,Fruit,Water,"Mathematics and statistics",5,12,3,"Yes - broadband connection","In person",3,2,8,1,15,0,0,6,3,0,10,0,5,7,Some,Other,Other,Fly,Healthy,Other,Other
USA,FL,2012,"12        ",Male,16,Left-Handed,185,26,181,2,Car,10,.294,41,Athletics,800,500,600,900,500,700,28,"Left foot",9,8,"Index finger",August,Fall,No,No,Poultry,"Soft drink (caffeinated)",History,7.5,10,3,"Yes - broadband connection","Text messaging",100,100,12,1,10,2,11,8,3,5,15,15,0,5,Some,"Graduate degree",Other,"Freeze time",Healthy,Politician,"International aid"
USA,SC,2017,"12        ",Female,17,Right-Handed,165,22.86,61,2,Car,4,.681,46,Running/Jogging,400,200,500,600,700,1000,22.86,"Same length",88.9,88.6,"Ring finger",June,Fall,No,No,Meat,Water,Science,6,10,6,"Yes - broadband connection","Text messaging",220,200,15,4,20,4,4,2,8,12,4,1,22,1,"A lot","Graduate degree",Pop,"Super strength",Happy,"Sports person","International aid"
USA,PA,2013,"5         ",Male,11,Right-Handed,"145 ",21,146,2,Bus,5,,,Soccer,200,500,700,800,1000,1000,24,"Left foot",70,70,"Same length",July,Summer,No,No,Desserts,Juice,"Physical education",9,4,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,36,10,2,15,0,1000,1000,75,1000,50,0,10,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Happy,Other,Health
USA,WI,2014,"8         ",Female,13,Right-Handed,159,24,158,1,Car,3,8,,Athletics,500,500,500,500,1000,1000,24,"Same length",80,75,"Index finger",July,Summer,No,No,Desserts,"Powdered drink","Mathematics and statistics",8,8,4,"Yes - broadband connection","Cell phone",5,5,2,.4,1,5,2,1,6,1,10,2,1,1,"Very little","Undergraduate degree","Rap/Hip hop",Fly,Happy,"Sports person",Health
USA,NC,2013,"11        ",Female,16,Right-Handed,161.0,23,66,2,Car,7,0.634,71,Baseball/Softball,807,684,824,508,882,872,22,"Right foot",9,7,"Index finger",June,Fall,,,Desserts,Water,Art,7,5,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,0,10,2,2,14,4,0,16,2,10,30,20,7,Some,"Graduate degree",Pop,Telepathy,Happy,Relative,Health
USA,VT,2017,"7         ",Male,14,Right-Handed,162,25,163,1,Walk,0.644,0.644,80,Walking/Hiking,316,460,128,251,1000,989,25,"Same length",90,70,,July,Summer,No,No,Soups,"Soft drink (caffeinated)",Music,8,10,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,3,11,1,5,0,0,0,13,0,30,16,0,0,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Rich,"Musician or singer","Wildlife, animals"
USA,IN,2019,"12        ",Female,17,Right-Handed,158,24,156,1,Car,2,.347,43,None,8,9,9,9,10,10,24,"Same length",70,75,"Ring finger",March,Summer,Yes,No,Poultry,Water,"Mathematics and statistics",8,8,4,"Yes - broadband connection","Text messaging",500,500,30,7,7,5,1,0,15,45,35,25,20,5,Some,"Undergraduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Environment
USA,CA,2019,"11        ",Male,17,Right-Handed,180,25,175,1,Car,15,.366,32,Soccer,1000,1000,1000,1000,900,900,26,"Left foot",90,90,"Same length",June,Summer,No,Yes,Pizza/Pasta,Water,Science,7.5,9,5,"Yes - broadband connection","Text messaging",200,200,4,14,16,4,2,2,4,2,6,1,5,5,Some,"Graduate degree",Pop,Fly,Happy,"Doctor or nurse",Health
USA,IN,2019,"12        ",Female,17,Left-Handed,170,10,68,2,Bus,10,.846,55,None,647,1000,952,952,583,925,10,"Same length",67,67,"Index finger",November,Spring,No,No,Fruit,"Soft drink (non-caffeinated)","Mathematics and statistics",8,5,4,"Yes - other","Text messaging",16,16,0,2,2,25,0,0,41,1,2,9,40,2,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Healthy,"Musician or singer",Religious
USA,WY,2011,"9         ",Female,14,Right-Handed,164,27,165,2,Bus,20,.483,37,Athletics,997,10,1000,,10,5,27,"Right foot",92,90,"Ring finger",June,Summer,Yes,No,Seafood,Tea,Music,9,10,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,0,80,2,36,190,60,0,12,0,50,60,0,90,Some,"Graduate degree",Other,"Freeze time",Healthy,"Musician or singer","Arts, culture, sports"
USA,NC,2020,"11        ",Female,17,Right-Handed,172,24,182,2,Car,10,.874,55,Athletics,310,430,610,720,890,950,24,"Same length",75,70,"Index finger",May,Fall,No,No,Pizza/Pasta,Water,Science,6,10,3,"Yes - broadband connection","Text messaging",400,391,35,1,10,7,8,0,49,49,49,4,5,3,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,"Doctor or nurse",Health
